jobid	node	walltime	systime	memory	memunit	status
NA20527_5_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.3775	2.73333333333	5.837	G	0
NA20527_6_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.21638888889	2.08333333333	6.205	G	0
NA20525_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.33527777778	3.53333333333	6.398	G	0
NA20521_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.35111111111	3.56666666667	6.030	G	0
NA20515_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.88888888889	3.35	6.583	G	0
NA20518_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.28694444444	3.11666666667	6.033	G	0
NA20517_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.25611111111	4.28333333333	5.958	G	0
NA20514_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.75777777778	4.63333333333	6.973	G	0
NA20527_4_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.749722222222	2.5	5.785	G	0
NA20518_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.0625	3.05	5.945	G	0
NA20516_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.35166666667	2.31666666667	6.189	G	0
NA20507_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.84444444444	3.21666666667	6.355	G	0
NA20505_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.97888888889	3.2	6.668	G	0
NA20508_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.63	4.3	6.189	G	0
NA19159_accepted_hits.bam_cufflinks.sh	compute-0-47.local	4.99194444444	5.01666666667	8.578	G	0
NA20513_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.41166666667	4.38333333333	6.355	G	0
NA20513_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.32555555556	3.55	6.020	G	0
NA19223_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.57694444444	4.5	7.215	G	0
NA20520_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.631666666667	1.55	6.029	G	0
NA20506_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.47277777778	1.45	6.010	G	0
NA20512_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.10444444444	2.48333333333	6.159	G	0
NA19257_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.67694444444	2.26666666667	6.755	G	0
NA20504_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.43833333333	3.25	6.132	G	0
NA20512_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.920555555556	2.28333333333	6.237	G	0
NA19235_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.99861111111	3.2	6.545	G	0
NA19256_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.5625	3.08333333333	6.215	G	0
NA19222_accepted_hits.bam_cufflinks.sh	compute-0-45.local	2.13888888889	1.55	8.157	G	0
NA20510_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.820277777778	2.33333333333	6.233	G	0
NA20503_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.19416666667	3.18333333333	6.212	G	0
NA19248_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.37638888889	2.46666666667	6.229	G	0
NA19247_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.46	3.58333333333	6.189	G	0
NA19213_accepted_hits.bam_cufflinks.sh	compute-0-47.local	2.07777777778	2.76666666667	7.696	G	0
NA20502_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.15666666667	3.25	6.055	G	0
NA19247_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.20305555556	3.28333333333	6.098	G	0
NA19256_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	0.946111111111	3.58333333333	5.719	G	0
NA19236_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.09027777778	3.05	5.881	G	0
NA19214_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.51027777778	2.5	6.369	G	0
NA19225_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.25	3.83333333333	6.555	G	0
NA19248_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.796388888889	2.26666666667	5.854	G	0
NA19257_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.693611111111	2.15	6.016	G	0
NA19206_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.03194444444	3.46666666667	6.679	G	0
NA19225_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.11527777778	2.91666666667	5.827	G	0
NA19236_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	0.976388888889	3.33333333333	5.912	G	0
NA19223_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.09416666667	3.76666666667	6.051	G	0
NA19222_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.11333333333	1.95	6.222	G	0
NA19214_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.0775	2.51666666667	6.115	G	0
NA19201_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.84805555556	3.36666666667	7.381	G	0
NA19213_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.00055555556	3.38333333333	6.023	G	0
NA19207_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.47083333333	2.95	6.197	G	0
NA19184_accepted_hits.bam_cufflinks.sh	compute-0-48.local	2.15444444444	2.61666666667	6.882	G	0
NA19209_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.20583333333	2.41666666667	6.370	G	0
NA19198_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.77277777778	2.93333333333	7.139	G	0
NA19210_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.07194444444	2.05	5.879	G	0
NA19204_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.52583333333	3.56666666667	6.419	G	0
NA19200_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.5625	2.51666666667	7.366	G	0
NA19209_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.12694444444	3.13333333333	6.236	G	0
NA19175_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.92638888889	1.23333333333	7.280	G	0
NA19197_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.6775	2.51666666667	6.472	G	0
NA19210_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.763055555556	2.06666666667	5.987	G	0
NA19206_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.03472222222	3.0	5.800	G	0
NA19171_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.08166666667	3.83333333333	7.045	G	0
NA19189_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.63527777778	3.18333333333	6.784	G	0
NA19197_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.33	2.83333333333	6.213	G	0
NA19207_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.756666666667	3.01666666667	5.732	G	0
NA19153_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.18305555556	3.71666666667	6.349	G	0
NA19185_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.4175	2.61666666667	6.266	G	0
NA19190_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.35972222222	3.36666666667	6.905	G	0
NA19147_accepted_hits.bam_cufflinks.sh	compute-0-48.local	2.50027777778	2.98333333333	8.851	G	0
NA19200_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	0.941388888889	3.23333333333	6.208	G	0
NA19198_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.980833333333	3.26666666667	6.197	G	0
NA19189_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.03611111111	2.86666666667	6.157	G	0
NA19175_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.20416666667	1.48333333333	6.679	G	0
NA19190_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.916944444444	2.98333333333	6.133	G	0
NA19172_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.05	2.75	6.020	G	0
NA18861_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	7.61138888889	49.0666666667	6.988	G	0
NA19185_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.781111111111	3.13333333333	5.902	G	0
NA19172_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.97	2.53333333333	5.934	G	0
NA19152_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.59555555556	1.75	6.880	G	0
NA19143_accepted_hits.bam_cufflinks.sh	compute-0-47.local	2.06361111111	2.3	7.508	G	0
NA19146_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.67972222222	3.26666666667	6.509	G	0
NA19150_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.49944444444	2.76666666667	6.526	G	0
NA19159_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.07166666667	2.9	6.031	G	0
NA19160_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.831944444444	2.65	5.918	G	0
NA19149_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.37888888889	3.7	6.057	G	0
NA19160_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.812222222222	2.86666666667	5.831	G	0
NA19137_accepted_hits.bam_cufflinks.sh	compute-0-45.local	2.22861111111	3.61666666667	6.273	G	0
NA19118_accepted_hits.bam_cufflinks.sh	compute-0-45.local	2.7725	4.41666666667	8.515	G	0
NA19150_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.03694444444	3.08333333333	5.888	G	0
NA19152_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	0.960277777778	2.36666666667	6.289	G	0
NA19144_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.45527777778	1.96666666667	6.632	G	0
NA19131_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.90111111111	3.43333333333	6.333	G	0
NA19141_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.64916666667	3.15	6.366	G	0
NA19146_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.01194444444	3.65	5.832	G	0
NA19144_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.02027777778	4.2	6.068	G	0
NA19143_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.125	2.68333333333	6.004	G	0
NA19108_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.78583333333	4.1	7.015	G	0
NA19130_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.51111111111	2.16666666667	6.783	G	0
NA19141_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.29916666667	3.63333333333	6.389	G	0
NA19116_accepted_hits.bam_cufflinks.sh	compute-0-47.local	2.29833333333	2.65	7.248	G	0
NA19138_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.04027777778	3.03333333333	5.817	G	0
NA19130_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.23555555556	3.0	6.052	G	0
NA19117_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.93138888889	3.55	6.326	G	0
NA19121_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.55138888889	2.41666666667	6.395	G	0
NA19131_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.07666666667	3.58333333333	5.984	G	0
NA19138_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.888611111111	3.4	5.720	G	0
NA19121_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.35472222222	2.15	6.439	G	0
NA19129_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.15472222222	2.68333333333	6.262	G	0
NA19118_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.30416666667	1.48333333333	6.799	G	0
NA19129_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.05	3.08333333333	6.119	G	0
NA19114_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.56305555556	2.36666666667	7.199	G	0
NA19119_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.01638888889	1.88333333333	6.421	G	0
NA19119_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.785555555556	2.5	5.934	G	0
NA19108_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.43944444444	2.08333333333	7.023	G	0
NA19116_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.08916666667	2.61666666667	5.910	G	0
NA19107_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.5	2.35	6.509	G	0
NA19095_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.02888888889	3.31666666667	7.432	G	0
NA19098_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.93138888889	2.96666666667	6.073	G	0
NA19099_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.73972222222	3.0	6.808	G	0
NA19114_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.948611111111	2.33333333333	6.327	G	0
NA19113_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.0725	2.91666666667	5.801	G	0
NA19102_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.30166666667	4.0	5.917	G	0
NA19113_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.683055555556	2.75	5.834	G	0
NA19107_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.15472222222	3.1	6.287	G	0
NA19095_5_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.69222222222	3.28333333333	6.331	G	0
NA18934_accepted_hits.bam_cufflinks.sh	compute-0-45.local	2.40944444444	4.46666666667	7.397	G	0
NA19092_accepted_hits.bam_cufflinks.sh	compute-0-47.local	2.36916666667	2.73333333333	7.345	G	0
NA18912_accepted_hits.bam_cufflinks.sh	compute-0-48.local	2.53027777778	3.66666666667	7.583	G	0
NA18916_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.44722222222	2.65	8.335	G	0
NA19096_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.13277777778	2.6	6.860	G	0
NA19095_3_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.62722222222	3.46666666667	6.187	G	0
NA19095_6_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.20472222222	3.2	6.077	G	0
NA19095_8_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.1325	2.76666666667	6.026	G	0
NA19093_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.53583333333	2.9	6.741	G	0
NA19095_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.42277777778	3.06666666667	6.115	G	0
NA19095_7_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.944166666667	2.66666666667	6.011	G	0
NA19099_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.637777777778	2.6	5.614	G	0
NA19096_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.704444444444	2.66666666667	5.779	G	0
NA18923_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.61944444444	2.35	6.912	G	0
NA18511_accepted_hits.bam_cufflinks.sh	compute-0-46.local	3.34361111111	5.11666666667	7.187	G	0
NA19095_4_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.821388888889	2.7	6.141	G	0
NA18917_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.33777777778	4.75	6.067	G	0
NA18934_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.06055555556	3.98333333333	5.661	G	0
NA18909_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.51333333333	2.23333333333	6.342	G	0
NA18502_accepted_hits.bam_cufflinks.sh	compute-0-45.local	3.1725	3.18333333333	7.417	G	0
NA18933_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.01472222222	2.71666666667	5.959	G	0
NA19093_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.758888888889	2.28333333333	6.065	G	0
NA18916_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.0475	3.35	6.055	G	0
NA18923_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	0.937222222222	2.93333333333	6.087	G	0
NA18908_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.55472222222	3.48333333333	6.663	G	0
NA18912_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.993333333333	2.88333333333	5.964	G	0
NA18910_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.751111111111	2.85	6.461	G	0
NA18910_2_accepted_hits.bam_cufflinks.sh	compute-0-46.local	0.874444444444	2.95	5.988	G	0
NA18907_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.36444444444	2.55	6.142	G	0
NA18873_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.42083333333	2.75	6.042	G	0
NA18909_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.759444444444	2.38333333333	5.941	G	0
NA18868_accepted_hits.bam_cufflinks.sh	compute-0-46.local	1.40361111111	3.23333333333	6.631	G	0
NA18870_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.15972222222	2.51666666667	6.688	G	0
NA18908_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	0.830833333333	2.98333333333	5.744	G	0
NA18867_accepted_hits.bam_cufflinks.sh	compute-0-45.local	1.48277777778	2.55	6.707	G	0
NA18907_2_accepted_hits.bam_cufflinks.sh	compute-0-48.local	0.8825	2.71666666667	6.648	G	0
NA18873_2_accepted_hits.bam_cufflinks.sh	compute-0-45.local	0.984722222222	3.56666666667	5.774	G	0
NA18517_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.81277777778	1.43333333333	6.573	G	0
NA18870_2_accepted_hits.bam_cufflinks.sh	compute-0-47.local	1.02527777778	3.05	6.122	G	0
NA18498_accepted_hits.bam_cufflinks.sh	compute-0-45.local	2.15694444444	3.0	6.701	G	0
NA18499_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.13777777778	2.75	7.487	G	0
NA18486_accepted_hits.bam_cufflinks.sh	compute-0-46.local	2.97	4.55	8.565	G	0
NA18858_accepted_hits.bam_cufflinks.sh	compute-0-48.local	1.5975	1.8	7.016	G	0
