x,y,type
8.5,2.65905228605044,point
8.5,2.52035687001492,point
8.5,3.01930338383016,point
8.5,2.29161239804662,point
8.5,2.75812192265074,point
8.6,3.11294695425431,point
8.6,2.6071503725623,point
8.6,3.07082207149537,point
8.6,2.73501519537473,point
8.6,2.87964107877726,point
8.6,2.75796410608741,point
8.6,3.3020323846313,point
8.6,2.57697434528591,point
8.6,2.00544310625263,point
8.6,2.55151109584549,point
8.6,2.72497107747073,point
8.6,2.52743321627806,point
8.6,3.33280387146081,point
8.7,2.2756716072135,point
8.7,2.56758925350826,point
8.7,2.3014705874899,point
8.7,2.95051320605631,point
8.7,2.31756166947694,point
8.7,1.88600379018266,point
8.7,2.78772916444565,point
8.7,2.48214095685592,point
8.7,2.76454149088123,point
8.7,2.69754031887946,point
8.7,2.87266527766046,point
8.7,2.64014889798754,point
8.7,2.67530107488678,point
8.7,2.32355453775207,point
8.7,2.62899284019694,point
8.7,3.10503938308632,point
8.7,2.24150463407115,point
8.7,2.37458604099528,point
8.7,2.36963398568747,point
8.8,1.86192758157946,point
8.8,2.61745600450131,point
8.8,2.59089658799998,point
8.8,1.31416284728652,point
8.8,1.83779392027142,point
8.8,2.26155789372832,point
8.8,1.80966550483609,point
8.8,2.51023026208402,point
8.8,0.722839328159309,point
8.8,2.25892589725292,point
8.8,2.36781275348749,point
8.8,2.23069182336919,point
8.8,2.54023066102932,point
8.8,2.24748704456664,point
8.8,1.97792464120471,point
8.8,3.03094869636054,point
8.8,2.66090352392166,point
8.8,1.87258845447822,point
8.8,2.67703459522409,point
8.8,2.78220934182825,point
8.8,2.27638350865054,point
8.8,2.76943323736125,point
8.8,2.68795649404448,point
8.8,1.70989053093899,point
8.8,1.25245804787133,point
8.8,2.52160609272179,point
8.8,2.96957416742615,point
8.8,3.32050200758377,point
8.8,2.3317281435323,point
8.9,2.62395579877964,point
8.9,2.64300417108191,point
8.9,2.42744258656077,point
8.9,2.26607588522627,point
8.9,2.45791468008147,point
8.9,2.59723080495685,point
8.9,2.25668159793041,point
8.9,2.39411623470885,point
8.9,1.78374998300717,point
8.9,2.6669746836262,point
8.9,0.536444862056161,point
8.9,1.51990416827567,point
8.9,2.08612815546854,point
8.9,2.10605680266825,point
8.9,2.21048238097197,point
8.9,1.01990825310764,point
8.9,2.12231489933512,point
8.9,2.46243192544009,point
8.9,2.71242189825525,point
8.9,2.97335963139633,point
8.9,1.5688541823529,point
8.9,1.04862680453802,point
9,1.22323100168941,point
9,2.65397947080967,point
9,2.61160677599343,point
9,2.09338101124871,point
9,1.99246391023187,point
9,2.50497625565698,point
9,2.61258368891782,point
9,2.08806694938071,point
9,2.32416830278984,point
9,0.639846162148739,point
9,2.04649455255253,point
9,1.94537172908749,point
9,2.73720866780222,point
9,2.07285011456541,point
9,0.350046829622162,point
9,1.94793914908138,point
9,0.416680874610978,point
9,2.21077536017445,point
9,1.24523399469342,point
9,1.7643419083532,point
9,1.96981542370373,point
9,2.87812695501142,point
9,1.07757799348201,point
9,2.15660695383827,point
9,1.31163679978976,point
9,2.54115796247323,point
9.1,2.77535190575498,point
9.1,1.83979435317656,point
9.1,1.65757598562395,point
9.1,2.10037219410711,point
9.1,1.09747595901327,point
9.1,3.13114824585264,point
9.1,1.67086299109063,point
9.1,2.02027105298374,point
9.1,2.63354745829421,point
9.1,0.955672130381733,point
9.1,2.27370087699902,point
9.1,2.53902477385853,point
9.1,2.7839804136838,point
9.1,2.66634530838035,point
9.1,2.72909155637185,point
9.1,1.37727925744159,point
9.1,1.32146635859253,point
9.1,2.54032738607922,point
9.1,2.18918251555831,point
9.1,1.79299690856732,point
9.1,2.51029863331627,point
9.1,0.307979849939191,point
9.2,0.676484067096556,point
9.2,2.61447663864087,point
9.2,0.373073524276164,point
9.2,2.75949462490613,point
9.2,2.15609238233711,point
9.2,2.24142531096795,point
9.2,1.16592479855562,point
9.2,1.26281197320203,point
9.2,1.99436973073437,point
9.2,2.10993217465826,point
9.2,1.19789683597707,point
9.2,1.00545029254568,point
9.2,0.65846103312551,point
9.2,2.40960817268175,point
9.2,3.58997915616904,point
9.2,1.9712216418545,point
9.2,0.666862007009679,point
9.2,0.334959500731574,point
9.2,0.473616531086422,point
9.2,1.53109445263185,point
9.2,1.00597479527682,point
9.2,3.59169138350058,point
9.2,0.319924243175588,point
9.2,1.94854478312522,point
9.2,2.05909911420147,point
9.2,0.918580870647337,point
9.2,0.461138759137846,point
9.2,0.661313624821568,point
9.2,1.59798875955586,point
9.2,0.299499056188969,point
9.2,1.69123487515359,point
9.2,1.10262454086697,point
9.2,0.190661632477826,point
9.2,1.62965503764271,point
9.2,0.458301152168401,point
9.2,1.02742302746628,point
9.2,0.561807076838742,point
9.2,2.34806241373511,point
9.2,1.06275033570289,point
9.2,3.20105196137635,point
9.2,0.765934402392159,point
9.2,0.254263866321487,point
9.2,1.16940553771851,point
9.2,0.0134772101589465,point
9.2,2.85130329845915,point
9.2,2.7743674971367,point
9.2,1.67205415385316,point
9.2,0.438157625854305,point
9.2,1.25619547654174,point
9.2,0.327737943832663,point
9.2,1.65155920087446,point
9.3,0.200732836351444,point
9.3,1.21253198703937,point
9.3,0.872173144501149,point
9.3,1.92017513540824,point
9.3,2.33686891750929,point
9.3,1.83487298918916,point
